City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
346,Shu,KZ,78.62,43.5983,73.7614,Shyngyzkhan
347,Montecristo,CO,76.26,8.2971,-74.4733,Hotel Maripaz
348,Zhigansk,RU,64.83,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
350,Matagami,CA,69.91,49.7502,-77.6328,Hôtel Matagami
351,Callaway,US,77.0,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
352,Adrar,MR,84.85,20.5022,-10.0711,
354,Dombarovskiy,RU,65.34,50.7587,59.5386,
357,Hambantota,LK,84.54,6.1241,81.1185,Bungalow 63
358,Nacala,MZ,63.52,-14.5428,40.6728,Nacala Plaza Business Design Hotel
359,Safaga,EG,87.75,26.7292,33.9365,Lamar Resort Abu Soma
360,Porto Novo,BJ,74.52,6.4965,2.6036,Tour Eiffel Hotel Benin
361,Abu Kamal,SY,84.92,34.4506,40.9171,محطة التلفاز
362,Asau,RO,60.96,46.4333,26.4,Casa Mika Ciobanus
363,San Ignacio,BZ,78.94,17.1561,-89.0714,Rainforest Haven Inn
364,Aksarayskiy,RU,76.95,46.7924,48.0119,
365,Barabash,RU,67.68,43.2,131.4833,
366,Pingliang,CN,77.2,35.5392,106.6861,North Gate Hostel
367,Nouadhibou,MR,68.99,20.931,-17.0347,El Medina
368,Aripuana,BR,75.34,-9.1667,-60.6333,
369,Kirakira,SB,81.34,-10.4544,161.9205,SanBiz Lodge
370,Payakumbuh,ID,81.59,-0.2202,100.6308,OYO 3114 Homestay Dalimo
373,Maan,PH,88.02,5.9339,124.7356,lola glo resort
374,La Rioja,ES,65.05,42.25,-2.5,Casa Concejos
375,Omsukchan,RU,70.56,62.5333,155.8,Zori
376,Tuxpan,MX,66.43,19.55,-103.4,Hotel y Restaurante Campestre La Cabaña
377,Syracuse,IT,95.43,37.0881,15.2792,Hotel Posta
379,Vancouver,CA,76.89,49.2497,-123.1193,"Park Inn & Suites by Radisson Vancouver, BC"
381,Saquarema,BR,66.36,-22.92,-42.5103,Hotel Fazenda Sol e Lua
